Module, Date, Time (PDT), Vin (V), Iin (A), Vout (V), Iout (A), Power (W)
M461101053AJ8, 2015-6-15, 6:34:00, 34.718750, 0.083557, 34.656250, 0.058685, 2.033813
M431101029AJ2, 2015-6-15, 6:34:00, 32.562500, 0.260498, 27.125000, 0.270508, 7.337524
M421101006AJB, 2015-6-15, 6:34:00, 37.843750, 2.707031, 37.812500, 2.669922, 100.956421
M431101063AJA, 2015-6-15, 6:34:00, 32.406250, 0.230103, 1.748047, 2.861328, 5.001736
M461101194AJ0, 2015-6-15, 6:35:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M431101063AJA, 2015-6-15, 6:35:00, 32.343750, 0.241089, 1.520508, 3.289062, 5.001045
M461101053AJ8, 2015-6-15, 6:35:00, 33.687500, 0.116028, 33.312500, 0.085571, 2.850594
M431101029AJ2, 2015-6-15, 6:35:00, 33.156250, 0.259277, 25.187500, 0.295166, 7.434494
M461101120AJF, 2015-6-15, 6:35:00, 31.468750, 0.154541, 10.914062, 0.334473, 3.650455
M421101006AJB, 2015-6-15, 6:35:00, 35.250000, 3.119141, 35.187500, 3.082031, 108.448975
M431101063AJA, 2015-6-15, 6:35:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M461101194AJ0, 2015-6-15, 6:36:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:36:00, 34.500000, 0.090820, 34.000000, 0.062347, 2.119812
M431101029AJ2, 2015-6-15, 6:36:00, 33.468750, 0.265625, 25.953125, 0.296631, 7.698498
M461101120AJF, 2015-6-15, 6:36:00, 31.218750, 0.157837, 11.125000, 0.335205, 3.729156
M421101006AJB, 2015-6-15, 6:36:00, 36.250000, 3.117188, 36.218750, 3.076172, 111.415100
M431101063AJA, 2015-6-15, 6:36:00, 32.343750, 0.241089, 1.520508, 3.289062, 5.001045
M461101194AJ0, 2015-6-15, 6:37:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:37:00, 34.281250, 0.101135, 33.812500, 0.072266, 2.443481
M461101194AJ0, 2015-6-15, 6:38:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M431101029AJ2, 2015-6-15, 6:38:00, 34.031250, 0.268311, 25.812500, 0.307617, 7.940369
M461101120AJF, 2015-6-15, 6:38:00, 30.984375, 0.161133, 10.945312, 0.345703, 3.783829
M421101006AJB, 2015-6-15, 6:38:00, 36.031250, 3.150391, 35.875000, 3.117188, 111.829102
M431101063AJA, 2015-6-15, 6:38:00, 32.312500, 0.246338, 1.547852, 3.333984, 5.160513
M461101053AJ8, 2015-6-15, 6:38:00, 34.281250, 0.101135, 33.812500, 0.072266, 2.443481
M431101029AJ2, 2015-6-15, 6:38:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M461101120AJF, 2015-6-15, 6:38:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M421101006AJB, 2015-6-15, 6:38:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M431101063AJA, 2015-6-15, 6:38:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M461101194AJ0, 2015-6-15, 6:39:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:39:00, 33.281250, 0.136230, 32.812500, 0.106079, 3.480721
